Active cases, Time (s) 
1310,3758538
1310,3758603
1311,3758856
1312,3758941
1313,3759195
1313,3759346
1313,3759592
1313,3759919
1314,3760157
1315,3760278
1316,3760374
1316,3761072
1317,3761146
1318,3761516
1319,3761545
1320,3761922
1321,3762017
1322,3762216
1323,3762296
1324,3762597
1324,3762888
1324,3763549
1325,3763591
1326,3763723
1327,3763951
1323,3765737
1323,3766181
1324,3766430
1325,3766588
1326,3766887
1327,3767214
1327,3767695
1328,3767826
1329,3767934
1330,3768730
1331,3769459
1332,3769513
1331,3769777
1332,3769804
1333,3769863
1334,3769911
1335,3770090
1332,3771192
1332,3771212
1331,3771267
1332,3771367
1333,3771369
1334,3771582
1335,3771677
1334,3772024
1334,3772440
1335,3772929
1336,3772981
1336,3773212
1336,3773323
1337,3773584
1338,3773711
1338,3773797
1339,3773994
1339,3774059
1340,3774430
