Active cases, Time (s) 
1124,3579300
1125,3579365
1125,3579590
1126,3579597
1127,3579872
1125,3580663
1125,3580998
1126,3581007
1127,3581499
1127,3581660
1127,3582161
1128,3582203
1129,3582375
1127,3583582
1128,3583722
1129,3583841
1130,3583906
1130,3584586
1131,3584641
1132,3584794
1133,3585474
1133,3586006
1133,3586284
1134,3586552
1134,3587199
1135,3587598
1135,3587887
1136,3588112
1137,3588244
1138,3588248
1139,3588440
1140,3588587
1140,3588603
1140,3588911
1141,3588985
1140,3589528
1140,3589579
1141,3589636
1141,3589911
1140,3590959
1141,3591129
1140,3591916
1139,3593272
1139,3594406
1140,3594555
1141,3594578
1142,3594643
1143,3594695
1144,3594979
1145,3595219
1142,3596901
1143,3597014
1144,3597121
1145,3597393
1146,3597502
1145,3598459
1146,3598515
1147,3598602
1148,3598627
1148,3598885
1148,3598924
1149,3598958
1150,3599321
1150,3599422
1150,3600261
1151,3600431
1152,3600499
1152,3600897
1153,3601782
1154,3601810
1155,3602118
1156,3602354
1157,3602612
1158,3602723
1159,3602896
1160,3602937
1161,3603029
1161,3603639
1162,3603814
1162,3604226
1163,3604317
1164,3604415
1165,3604423
1165,3604508
1166,3604696
1167,3604708
1168,3605129
1168,3605212
1169,3605251
1170,3605288
1171,3605618
1172,3605677
1172,3605813
1173,3606162
1174,3606371
1174,3606929
1174,3607037
1173,3608334
1174,3608632
1172,3609562
1172,3610611
1173,3610793
1173,3610975
1174,3611195
1175,3611225
1176,3612071
1176,3612594
1177,3612675
1178,3613153
1178,3613290
1177,3613633
1176,3614501
1177,3614628
1178,3614985
1177,3615329
1177,3615593
1178,3615667
1179,3615689
1180,3615807
1181,3616351
1181,3616425
1182,3616439
1183,3616736
1182,3617558
1183,3617644
1184,3617701
1184,3617874
1185,3618559
1185,3618868
1186,3619232
1187,3619517
1186,3619673
1187,3619675
1187,3619793
1188,3620133
1189,3620407
1190,3620511
1190,3620562
1191,3620626
1192,3620689
1193,3621258
1193,3622251
1194,3622629
1195,3622679
1196,3622865
1197,3623006
1198,3623214
1198,3623561
1199,3623606
1199,3623758
1200,3624470
1201,3624732
1202,3625261
1203,3625407
1204,3625578
1205,3625617
1206,3625887
1207,3626024
1208,3626103
1209,3626148
1210,3626403
1211,3626433
1212,3626595
1212,3627030
1213,3627080
1214,3627244
1213,3627802
1214,3627993
1215,3628131
1215,3628228
1214,3628616
1215,3628832
1214,3628866
1214,3629571
1215,3629582
1216,3629726
1217,3629988
1217,3630016
1218,3630197
1219,3630244
1220,3630277
1220,3630627
1221,3630747
1222,3631425
1223,3631431
1222,3631909
1223,3632150
1222,3632608
1223,3632743
1224,3632752
1225,3632910
1225,3633684
1224,3633886
1225,3634279
1226,3634433
1226,3634525
1226,3634592
1226,3635178
1227,3635842
1228,3636124
1227,3636697
1227,3636877
1227,3637063
1228,3637490
1229,3637500
1229,3637662
1230,3638158
1229,3639051
1230,3639420
1228,3641209
1228,3641435
1229,3641682
1230,3641928
1230,3641995
1231,3642005
1232,3642015
1233,3642098
1233,3642252
1233,3642255
1233,3642419
1234,3642455
1235,3642732
1236,3642852
1234,3643867
1235,3644060
1234,3644533
1234,3644690
1234,3645798
1235,3645953
1236,3646085
1236,3646335
1237,3646540
1237,3646876
1238,3646922
1238,3646944
1238,3647347
1237,3649401
1238,3650071
1239,3650399
1240,3650967
1241,3650982
1242,3651159
1242,3651833
1243,3651945
1243,3652737
1244,3652962
1245,3653136
1245,3653730
1246,3653801
1246,3653978
1247,3654008
1247,3654595
1248,3654826
1249,3654980
1250,3655019
1249,3655468
1250,3655520
1251,3655583
1251,3655950
1252,3656006
1253,3656502
1253,3656694
1253,3656912
1254,3657827
1255,3658132
1255,3658523
1255,3659319
1256,3659469
1255,3659966
1256,3660243
1256,3660320
1257,3660447
1258,3660941
1259,3661278
1258,3661589
1258,3661642
1258,3661692
1259,3661717
1259,3661759
1260,3662505
1261,3662509
1262,3662515
1262,3662602
1263,3662738
1264,3662794
1264,3663010
1265,3663039
1266,3663485
1266,3664450
1267,3664517
1268,3664576
1269,3664644
1270,3664764
1271,3664813
1271,3665218
1272,3665311
1273,3665582
1273,3666537
1274,3666804
1275,3666880
1276,3667045
1277,3667127
1278,3667416
1279,3667641
1280,3668111
1280,3668196
1281,3668471
1282,3668588
1281,3669106
1281,3669334
1282,3669480
1283,3669493
1284,3669592
1284,3669849
1285,3670022
1286,3670031
1286,3670216
1286,3670742
1287,3670760
1288,3671374
1289,3671517
1290,3671797
1290,3671988
1291,3672459
1292,3672622
1293,3672633
1294,3673373
1295,3673435
1296,3673491
1297,3673548
1297,3674258
1298,3674736
1299,3674826
1299,3675244
1300,3675316
1301,3675409
1301,3675620
1301,3675742
1302,3675906
1303,3676352
1304,3676435
1304,3676483
1305,3676589
1305,3676692
1306,3677227
1307,3677400
1308,3678172
1307,3678241
1308,3678813
1308,3678941
1309,3679176
1309,3679411
1309,3679568
1310,3679618
1309,3679914
1308,3680839
1309,3680992
1309,3681280
1309,3681617
1310,3682029
1310,3682384
1311,3682578
1312,3682903
1313,3683256
1314,3683477
1315,3683530
1315,3683636
1316,3683677
1317,3683877
1318,3684302
1319,3684328
1320,3684444
1320,3684997
1320,3685537
1320,3685744
1321,3685825
1319,3687158
1320,3687465
1321,3687527
1322,3687853
